1      O        -2.48310527      -0.19356676       0.26909587
2      O        -0.15257220       3.14338151       0.11711607
3      O         2.79596594      -2.17949495       1.81642122
4      O        -2.97165724       3.47154780       0.62387398
5      O         3.53673660      -2.31162564       4.36783561
6      O         2.72446522       0.88522545      -1.81371187
7      O        -2.76752921       4.32168811       4.10880490
8      O         3.70993909       3.33402450      -0.56672354
9      O        -4.09308756      -2.53740936       1.06367475
10     O        -0.20348024       3.39713766       3.19800628
11     O        -0.16653428      -1.55780686      -0.95139062
12     O         2.30586801       4.94869502       1.31199999
13     O        -0.13433792      -1.17567324      -3.81219686
14     O        -0.19619276      -4.06132130      -4.09900589
15     O         2.12791042      -3.30908699      -1.20548280
16     O         4.47647396      -1.47073406      -2.85444169
17     O        -2.12305230       1.54626238       2.44109950
18     O         1.78344621       4.66687488       4.51418466
19     O         1.46661803       0.44879412       1.17218343
20     O        -3.85909096       2.31436897      -1.85148366
21     O        -1.40653449      -4.14067612       2.28407960
22     O        -1.25742618      -4.10670054      -0.74210334
23     O        -4.83186184      -3.90223913      -1.19844009
24     O        -1.68447022       2.10436776      -4.38376230
25     O        -3.31682412      -0.13407747      -4.19086058
26     O        -4.81835119       2.42608143       3.15528822
27     O        -2.81281765      -3.22087163      -4.12453970
28     O         3.72628481       2.02163373      -4.41080897
29     O        -3.00760442      -1.95032132      -1.73333638
30     O         4.94350240       4.53609368      -4.06147641
31     O         4.61919445      -0.11600627       0.04434187
32     O         0.80629124      -2.63702355       3.64434593
33     O         1.40325442       0.04076397       4.20528579
34     H         1.41155295       0.67268320       3.45186687
35     H         1.38711749      -0.87495240       3.85556598
36     H         0.39924443      -3.10540443       4.48339400
37     H         1.76594063      -2.97801739       3.63088215
38     H        -4.97238185      -0.96031799      -0.18465904
39     H        -4.80435979       0.67628060      -0.05751319
40     H        -4.73331104       3.63041732      -4.20645294
41     H         4.01154489       4.64360861      -4.30677585
42     H        -3.54676307      -1.19597263      -1.50700635
43     H        -3.24266834      -2.11997667      -2.70256654
44     H         4.31840605       1.69014427      -3.70292549
45     H         3.28573728       1.31390872      -4.85781602
46     H        -1.93067470      -3.64702480      -4.23421451
47     H        -3.35873951      -3.69564083      -4.77993056
48     H        -4.56535031       3.32275659       2.91380857
49     H        -4.46592725       2.19671552       4.08442825
50     H        -2.73862534      -0.87147281      -4.43586170
51     H        -4.00967059      -0.47431531      -3.66255614
52     H        -2.35663612       1.46302421      -4.57947018
53     H        -1.00135781       1.41035911      -4.25178139
54     H        -4.35584064      -4.33356483      -1.94191159
55     H         4.56720370      -4.57132104      -0.88461440
56     H        -0.50208555      -3.70098693      -1.22558762
57     H        -1.97121193      -3.44839614      -0.68948228
58     H        -0.59760088      -3.61842839       2.58531034
59     H        -1.66886123      -3.96591142       1.34122000
60     H        -3.38290143       1.98038769      -2.66390552
61     H        -3.15370592       2.43387718      -1.15717863
62     H         2.39398929       0.65234679       1.06400310
63     H         0.95882349       0.55415072       0.38844376
64     H         1.02398372       4.57453420       3.87111137
65     H         2.05987471       3.73635156       4.58094126
66     H        -3.07755798       1.65382789       2.51729097
67     H        -2.05441439       0.86605691       1.70923080
68     H         4.23413467      -1.78316395      -1.95073796
69     H         4.23645641      -2.12532533      -3.54412213
70     H         1.96296377      -4.06677308      -0.61190619
71     H         3.04485042      -2.92651641      -1.06101596
72     H         0.47922735      -4.75504764      -4.25697913
73     H        -0.13472556      -3.91670998      -3.11243289
74     H         0.67705240      -0.86003751      -4.30540133
75     H        -0.62064760      -1.67789980      -4.47302593
76     H         3.10276102       4.43593718       0.96967117
77     H         1.61458411       4.29074674       1.33896475
78     H         0.81748466      -1.86788076      -0.88397979
79     H        -0.30527302      -1.08701808      -1.76410825
80     H        -0.91295301       2.83208771       3.60384069
81     H        -0.78668685       4.04085331       2.73194012
82     H        -4.09733828      -3.05951623       0.25038622
83     H         4.97370271      -2.71759649       1.35410581
84     H         4.47977118       3.29939278      -1.18951089
85     H         3.11242680       2.69842322      -1.02724014
86     H        -2.27508901       4.90976782       3.49670386
87     H        -2.06387939       3.86340088       4.66211270
88     H         3.21600500       0.34051689      -1.21956633
89     H         2.83197896       0.72187782      -2.75406537
90     H         3.41254750      -1.95626359       3.47518224
91     H         3.71284166      -3.26074646       4.23040983
92     H        -2.68750502       2.68040445       1.14940781
93     H        -2.57022012       4.19945622       0.95583079
94     H         2.52603261      -2.96741100       1.33000631
95     H         2.29214729      -1.40302149       1.49863646
96     H        -0.54854558       3.83585215      -0.46591304
97     H        -0.72264838       3.08526545       0.87354196
98     H        -2.91415761      -0.89745191       0.78565221
99     H        -1.76161382      -0.60871254      -0.27918222
